feature,importance_x,importance_y,importance_avg
y_change,0.0009456306,0.84746915,0.4242074
x_from_los,0.5656684,7.5622665e-05,0.28287202
ball_travel_distance,0.26733512,6.4001484e-05,0.13369957
y_displacement_5,0.00043012534,0.11549613,0.057963125
is_in_red_zone,0.0532356,6.261011e-05,0.026649106
dist_to_endzone,0.02733143,5.999702e-05,0.013695714
is_targeted_receiver,0.013838355,0.0001054621,0.0069719087
is_offense,0.012580409,0.0,0.0062902044
is_defensive_coverage,0.012311321,0.00018099972,0.0062461603
dist_to_los,0.009090641,6.7643436e-05,0.004579142
ball_y_diff,0.00021585377,0.0063353353,0.0032755944
pass_length,0.0061377175,4.9493156e-05,0.0030936054
team_center_x,0.0053150617,5.8516853e-05,0.0026867893
dir_sin,0.00012607791,0.005028575,0.0025773265
dist_to_passer,0.0050215367,8.311643e-05,0.0025523265
dist_to_targeted_receiver,0.0012534773,0.0022000417,0.0017267595
s,9.006627e-05,0.0033120853,0.0017010758
moving_toward_ball,0.00021048692,0.002808227,0.0015093569
absolute_yardline_number,0.0027115915,2.3395649e-05,0.0013674936
ball_x_diff,0.0025138082,0.00014297824,0.0013283932
