week,is_completion,expected_points_added,pass_length,receiver_speed,closest_defender_dist,play_id
1,0.682,0.164,9.357,5.67,4.42,129
2,0.774,0.339,8.835,5.253,4.445,133
3,0.662,-0.13,9.331,5.654,4.4,136
4,0.67,0.236,9.554,5.581,4.63,112
5,0.726,0.012,9.0,5.303,4.779,113
6,0.594,-0.113,11.938,5.827,4.036,128
7,0.725,0.222,9.438,5.171,4.141,80
8,0.757,0.134,7.495,5.331,4.919,111
9,0.65,-0.052,9.508,5.614,4.237,120
10,0.643,0.093,9.223,5.248,4.55,112
11,0.683,0.195,8.96,5.447,4.472,126
12,0.674,0.101,9.465,5.545,4.503,129
13,0.591,0.215,9.955,5.595,4.531,88
14,0.605,0.08,10.529,5.668,4.275,119
15,0.661,0.305,9.862,5.619,4.09,109
16,0.706,0.178,9.573,5.636,5.079,143
17,0.69,0.242,10.071,5.42,4.931,113
18,0.677,0.043,9.752,5.67,4.481,133
