feature,importance_classification,importance_regression,avg_importance
pass_length,0.028297338726060963,0.7575479067374318,0.3929226227317464
dist_to_ball_land,0.254013468294549,0.014265462638127498,0.13413946546633826
closest_defender_dist,0.1268942176580321,0.030659388963338814,0.07877680331068546
receiver_acceleration,0.04725499980882866,0.019356215595226444,0.033305607702027555
avg_defender_dist,0.050281370216538175,0.015296598646506981,0.032788984431522575
passer_speed,0.05184311347538687,0.010792154738022676,0.031317634106704774
dropback_distance,0.04286136192809696,0.014835633890692444,0.028848497909394703
direction_change,0.0408236989171102,0.015812538012475976,0.02831811846479309
dist_from_passer,0.03727292048991799,0.017704984926044814,0.0274889527079814
yardline_number,0.028942567309338925,0.01745290765579256,0.02319773748256574
receiver_direction,0.03430971772016339,0.011839762978136324,0.023074740349149858
speed_change,0.038458933926893174,0.007671811224208593,0.023065372575550885
receiver_speed,0.030868430831304576,0.008175667210750727,0.01952204902102765
yards_to_endzone,0.02560574379588176,0.008351316485791922,0.01697853014083684
max_speed,0.027178242282604775,0.0051817767670755705,0.016180009524840173
distance_covered,0.024998793399672342,0.004207404073712229,0.014603098736692285
avg_speed,0.021270171414381076,0.006996336957952653,0.014133254186166865
yards_to_go,0.02306748472988361,0.004957929166511958,0.014012706948197784
defenders_in_the_box,0.012203651584485326,0.007107107782273321,0.009655379683379324
down,0.006692736681849034,0.0,0.003346368340924517
coverage_PREVENT,0.0,0.0026333502696573555,0.0013166751348286777
