feature,importance
pass_length,0.7575479067374318
closest_defender_dist,0.030659388963338814
receiver_acceleration,0.019356215595226444
dist_from_passer,0.017704984926044814
yardline_number,0.01745290765579256
direction_change,0.015812538012475976
avg_defender_dist,0.015296598646506981
dropback_distance,0.014835633890692444
dist_to_ball_land,0.014265462638127498
receiver_direction,0.011839762978136324
passer_speed,0.010792154738022676
yards_to_endzone,0.008351316485791922
receiver_speed,0.008175667210750727
speed_change,0.007671811224208593
defenders_in_the_box,0.007107107782273321
avg_speed,0.006996336957952653
max_speed,0.0051817767670755705
yards_to_go,0.004957929166511958
distance_covered,0.004207404073712229
coverage_PREVENT,0.0026333502696573555
down,0.0024928157360709874
formation_PISTOL,0.0022783012538837707
coverage_COVER_1_MAN,0.002241116258620041
route_FLAT,0.001404152999580671
coverage_COVER_4_ZONE,0.0012469820719920796
coverage_COVER_2_MAN,0.0011238949003050335
coverage_COVER_2_ZONE,0.0011235523901175595
route_OUT,0.0010125566284502445
defenders_within_10yds,0.0010079621027014782
route_SLANT,0.0008390675680234152
coverage_COVER_3_ZONE,0.0007353272899601745
formation_SHOTGUN,0.0006488286462968056
play_action,0.0005646334159458321
defenders_within_5yds,0.0005174567030072196
quarter,0.00048568880157713487
route_CROSS,0.00034300347971533097
coverage_COVER_6_ZONE,0.000324350481838378
route_GO,0.000260126589785533
route_POST,0.0002279596222314463
route_CORNER,0.00012995688591884788
route_IN,0.00011301898100012692
formation_SINGLEBACK,1.4436951869009737e-05
route_SCREEN,1.441390672850364e-05
is_redzone,2.9686097603954277e-06
route_HITCH,1.173004889511127e-06
coverage_Unknown,0.0
is_two_minute_drill,0.0
formation_JUMBO,0.0
formation_I_FORM,0.0
route_WHEEL,0.0
formation_WILDCAT,0.0
