passer,receiver,completions,targets,completion_rate,total_epa,total_yards
T.Tagovailoa,T.Hill,13,15,0.8666666666666667,18.651752655452576,158
J.Goff,A.St,20,29,0.6896551724137931,15.834132676245634,245
B.Mayfield,C.Godwin,13,21,0.6190476190476191,15.345379191101518,212
C.Stroud,N.Dell,8,11,0.7272727272727273,14.664396667678368,148
G.Smith,T.Lockett,15,20,0.75,10.648898505081887,198
M.Stafford,T.Atwell,8,10,0.8,10.61077846953413,112
J.Allen,S.Diggs,14,17,0.8235294117647058,9.7479941760539,176
D.Prescott,C.Lamb,16,19,0.8421052631578947,9.693748026620602,182
M.Stafford,P.Nacua,9,17,0.5294117647058824,9.37797200278147,136
J.Hurts,A.Brown,13,19,0.6842105263157895,8.5247586251644,178
G.Smith,D.Metcalf,11,15,0.7333333333333333,8.514216924610082,142
J.Love,J.Reed,9,12,0.75,8.05964543559821,147
J.Goff,S.La,13,18,0.7222222222222222,7.925919977715227,119
T.Lawrence,C.Kirk,8,11,0.7272727272727273,7.899637762457135,136
B.Mayfield,M.Evans,11,14,0.7857142857142857,7.448663426097488,123
T.Tagovailoa,J.Waddle,8,12,0.6666666666666666,7.205952526826875,117
B.Young,A.Thielen,13,19,0.6842105263157895,7.183674410625832,132
L.Jackson,Z.Flowers,6,10,0.6,7.030997669091449,129
D.Ridder,D.London,14,16,0.875,6.9848224936868055,165
L.Jackson,M.Andrews,7,12,0.5833333333333334,6.7432964373147195,72
P.Mahomes,T.Kelce,10,10,1.0,6.384582646598564,85
Unknown,D.Adams,11,17,0.6470588235294118,6.23179762711517,109
K.Murray,T.Mc,8,10,0.8,5.679049075930386,88
C.Stroud,D.Schultz,9,11,0.8181818181818182,5.538204487296761,99
J.Herbert,K.Allen,14,18,0.7777777777777778,4.996536277409183,157
B.Mayfield,T.Palmer,8,11,0.7272727272727273,4.779874907922922,104
M.Jones,H.Henry,6,10,0.6,4.419611880090087,69
S.Howell,L.Thomas,7,10,0.7,3.888109157385768,59
K.Cousins,T.Hockenson,13,15,0.8666666666666667,3.5559779503964792,100
M.Stafford,T.Higbee,11,14,0.7857142857142857,3.4958112413296534,105
D.Ridder,B.Robinson,11,12,0.9166666666666666,3.4684665090753697,75
J.Dobbs,T.Hockenson,7,10,0.7,3.442966265196444,69
J.Dobbs,M.Brown,9,15,0.6,3.34429057160742,88
S.Howell,C.Samuel,8,14,0.5714285714285714,3.288545193237944,117
J.Fields,C.Kmet,9,10,0.9,2.966622125357386,62
T.Lawrence,C.Ridley,6,13,0.46153846153846156,2.9391189363086663,98
C.Stroud,N.Collins,9,10,0.9,2.8025513414177086,136
W.Levis,D.Hopkins,4,10,0.4,2.46206146676559,98
S.Howell,J.Dotson,7,11,0.6363636363636364,2.38122180604842,72
B.Purdy,B.Aiyuk,5,10,0.5,1.9929323726682877,93
R.Wilson,S.Perine,22,23,0.9565217391304348,1.8054396984516636,167
T.Lawrence,E.Engram,9,10,0.9,0.879916620964662,69
R.Wilson,J.Jeudy,6,11,0.5454545454545454,0.509369012608655,59
J.Hurts,K.Gainwell,10,10,1.0,0.4827300122124132,40
Z.Wilson,T.Conklin,12,13,0.9230769230769231,0.4606991978944269,120
J.Hurts,D.Smith,8,12,0.6666666666666666,0.27649028701126405,125
D.Carr,C.Olave,8,14,0.5714285714285714,0.16128829953960616,95
S.Howell,T.Mc,10,15,0.6666666666666666,0.10412185931637108,91
W.Levis,C.Okonkwo,7,10,0.7,-0.18185738654574288,61
T.Lawrence,Z.Jones,5,10,0.5,-0.431291578395758,35
R.Wilson,C.Sutton,10,14,0.7142857142857143,-1.7434277450083862,80
J.Love,R.Doubs,4,10,0.4,-1.8175432537100162,43
G.Minshew,M.Pittman,10,16,0.625,-2.140816582250407,78
B.Young,J.Mingo,4,12,0.3333333333333333,-2.838276552734899,42
G.Smith,Z.Charbonnet,7,10,0.7,-4.231874301272908,19
