route_of_targeted_receiver,COVER_0_MAN,COVER_1_MAN,COVER_2_MAN,COVER_2_ZONE,COVER_3_ZONE,COVER_4_ZONE,COVER_6_ZONE,PREVENT,Unknown
ANGLE,0.0,0.3333333333333333,0.4,0.875,0.8709677419354839,0.8888888888888888,0.9285714285714286,1.0,
CORNER,0.6,0.4666666666666667,0.3333333333333333,0.5,0.5555555555555556,0.5555555555555556,0.7,0.0,
CROSS,0.8,0.7297297297297297,0.8333333333333334,0.72,0.6363636363636364,0.6923076923076923,0.6666666666666666,0.5,
FLAT,0.75,0.8055555555555556,0.8333333333333334,0.896551724137931,0.9113924050632911,0.8157894736842105,0.8461538461538461,1.0,
GO,0.4166666666666667,0.3442622950819672,0.14285714285714285,0.46153846153846156,0.3620689655172414,0.3125,0.5,0.75,
HITCH,0.7,0.7758620689655172,0.5,0.9107142857142857,0.7633587786259542,0.8076923076923077,0.7222222222222222,0.8571428571428571,
IN,0.4,0.375,0.8333333333333334,0.75,0.5757575757575758,0.5365853658536586,0.6818181818181818,0.8,
OUT,0.7777777777777778,0.546875,0.5,0.7567567567567568,0.6728971962616822,0.717391304347826,0.7058823529411765,0.5,0.0
POST,0.6,0.45,0.45454545454545453,0.5384615384615384,0.6,0.3181818181818182,0.47058823529411764,0.7,
SCREEN,1.0,0.5,1.0,0.8888888888888888,0.8181818181818182,1.0,1.0,,
SLANT,0.8125,0.6938775510204082,0.25,0.7619047619047619,0.696969696969697,0.6785714285714286,0.8,,1.0
WHEEL,,0.0,,,1.0,0.0,0.5,,
