defensive_team,completion_rate_allowed,avg_epa_allowed,avg_yards_allowed
TEN,0.567,-0.259,4.507
NYJ,0.603,-0.243,5.984
NYG,0.625,-0.159,7.286
IND,0.642,-0.133,6.06
KC,0.565,-0.131,5.0
MIA,0.672,-0.124,7.345
TB,0.627,-0.093,7.576
NO,0.676,-0.083,6.746
BAL,0.677,-0.044,6.846
SEA,0.632,-0.009,6.897
LV,0.72,0.015,7.84
NE,0.673,0.04,7.654
HOU,0.738,0.051,6.831
CLE,0.641,0.101,7.115
LAC,0.667,0.119,7.175
BUF,0.788,0.121,6.538
JAX,0.747,0.152,7.048
LA,0.62,0.162,7.944
DEN,0.661,0.175,7.032
ATL,0.529,0.179,6.456
SF,0.757,0.184,7.108
DAL,0.656,0.197,6.443
MIN,0.742,0.246,8.303
GB,0.721,0.251,7.82
WAS,0.734,0.256,8.266
DET,0.7,0.3,9.42
ARI,0.738,0.332,8.918
CIN,0.653,0.35,8.72
CHI,0.771,0.37,8.506
CAR,0.679,0.386,7.189
PIT,0.65,0.39,9.217
PHI,0.699,0.439,9.398
