possession_team,completion_rate,plays,avg_epa,avg_yards,avg_pass_length
BAL,0.651,63,0.511,8.873,11.286
DET,0.726,73,0.479,7.575,8.808
MIN,0.747,83,0.467,10.084,11.53
HOU,0.72,82,0.365,8.378,9.707
LA,0.643,70,0.349,8.771,11.1
KC,0.698,63,0.333,7.429,9.143
SEA,0.691,81,0.322,7.975,8.481
TB,0.714,70,0.304,8.486,11.114
LV,0.672,58,0.257,7.379,8.724
DAL,0.702,57,0.232,8.579,8.491
TEN,0.636,66,0.201,8.379,13.167
SF,0.622,45,0.199,8.822,9.689
BUF,0.704,54,0.198,6.926,11.815
CLE,0.672,61,0.196,8.344,9.082
DEN,0.736,72,0.157,7.958,7.764
PIT,0.717,60,0.155,7.45,9.467
MIA,0.74,73,0.1,7.795,8.192
GB,0.58,69,0.081,6.594,10.333
LAC,0.675,80,0.065,6.75,9.962
CHI,0.732,41,0.052,7.537,8.659
IND,0.639,61,0.047,5.262,7.197
ARI,0.696,92,-0.023,7.348,8.913
WAS,0.678,90,-0.034,7.089,7.944
CAR,0.591,66,-0.042,5.576,10.606
NYG,0.652,66,-0.12,6.197,8.424
NO,0.648,54,-0.122,5.463,9.981
CIN,0.558,43,-0.128,5.023,9.581
JAX,0.648,71,-0.141,6.93,10.408
NYJ,0.689,74,-0.16,6.77,9.297
ATL,0.726,73,-0.163,6.671,7.973
PHI,0.679,56,-0.186,6.768,9.875
NE,0.582,67,-0.252,5.194,9.552
